stays the same
part 2: 250757288
01000	0x007dfff2	Five of a kind	Four of a kind	AAAAJ	14
00999	0x007d20e0	Five of a kind	Full house	AJJAA	915
00998	0x007cf3c3	Five of a kind	Full house	KKJKJ	959
00997	0x007bfff4	Five of a kind	Four of a kind	QQQQJ	731
00996	0x0079f6a0	Five of a kind	Four of a kind	TTJTT	944
00995	0x0078fff7	Five of a kind	Four of a kind	9999J	822
00994	0x00787879	Five of a kind	Full house	9J9J9	420
00993	0x0077ff80	Five of a kind	Full house	888JJ	719
00992	0x00778800	Five of a kind	Four of a kind	8J888	357
00991	0x00778780	Five of a kind	Full house	8J8JJ	338
00990	0x00778000	Five of a kind	Four of a kind	8JJJJ	685
00989	0x0074ffb5	Five of a kind	Four of a kind	555J5	764
00988	0x0074b04b	Five of a kind	Full house	5JJ5J	390
00987	0x0073fffc	Five of a kind	Four of a kind	4444J	976
00986	0x0073fc04	Five of a kind	Full house	44JJ4	738
00985	0x0072fffd	Five of a kind	Four of a kind	3333J	654
00984	0x0072d2fd	Five of a kind	Full house	3J33J	534
00983	0x0071ffe2	Five of a kind	Four of a kind	222J2	833
00982	0x0071e1fe	Five of a kind	Full house	2J22J	549
00981	0x0070d000	Five of a kind	Four of a kind	JKKKK	948
00980	0x0070b4c0	Five of a kind	Full house	JQJQQ	247
00979	0x00709ff6	Five of a kind	Full house	JTTTJ	923
00978	0x00707000	Five of a kind	Four of a kind	J7777	740
00977	0x00706f97	Five of a kind	Full house	J77J7	957
00976	0x00706000	Five of a kind	Four of a kind	J6666	406
00975	0x00704ffb	Five of a kind	Full house	J555J	393
00974	0x00700d2e	Five of a kind	Full house	JJAJA	816
00973	0x00700040	Five of a kind	Full house	JJJ44	668
00972	0x00700000	Five of a kind	Five of a kind	JJJJJ	488
00971	0x006dfffb	Four of a kind	Four of a kind	AAAA9	734
00970	0x006dfff4	Four of a kind	Four of a kind	AAAA2	290
00969	0x006dff5b	Four of a kind	Four of a kind	AAA3A	50
00968	0x006de200	Four of a kind	Four of a kind	AQAAA	994
00967	0x006d7fa6	Four of a kind	Three of a kind	A66J6	84
00966	0x006d2d26	Four of a kind	Two pair	AJAJ6	693
00965	0x006d24b5	Four of a kind	Two pair	AJ5J5	31
00964	0x006d0f00	Four of a kind	Four of a kind	KAKKK	782
00963	0x006d00e3	Four of a kind	Three of a kind	KKAKJ	32
00962	0x006cffff	Four of a kind	Four of a kind	KKKKQ	28
00961	0x006cfffb	Four of a kind	Four of a kind	KKKK8	77
00960	0x006cfff8	Four of a kind	Four of a kind	KKKK5	555
00959	0x006cffc4	Four of a kind	Four of a kind	KKK9K	709
00958	0x006cffa6	Four of a kind	Four of a kind	KKK7K	475
00957	0x006cff6a	Four of a kind	Four of a kind	KKK3K	703
00956	0x006cff3a	Four of a kind	Three of a kind	KKKJT	365
00955	0x006cf790	Four of a kind	Four of a kind	KK4KK	328
00954	0x006cd300	Four of a kind	Four of a kind	KTKKK	724
00953	0x006cbff7	Four of a kind	Three of a kind	K999J	769
00952	0x006cb000	Four of a kind	Four of a kind	K8888	742
00951	0x006ca000	Four of a kind	Four of a kind	K7777	985
00950	0x006c9f90	Four of a kind	Two pair	K77JJ	623
00949	0x006c7000	Four of a kind	Four of a kind	K4444	284
00948	0x006c6ffc	Four of a kind	Three of a kind	K444J	96
00947	0x006c6000	Four of a kind	Four of a kind	K3333	652
00946	0x006c4ed0	Four of a kind	Three of a kind	K2JKK	19
00945	0x006c3ca6	Four of a kind	Three of a kind	KJK7K	473
00944	0x006c3c3a	Four of a kind	Two pair	KJKJT	867
00943	0x006c3850	Four of a kind	Three of a kind	KJ8KK	662
00942	0x006c03d0	Four of a kind	Three of a kind	QKJKK	166
00941	0x006c00f0	Four of a kind	Four of a kind	QQKQQ	453
00940	0x006bfffe	Four of a kind	Four of a kind	QQQQT	306
00939	0x006bff6a	Four of a kind	Four of a kind	QQQ2Q	927
00938	0x006bf407	Four of a kind	Two pair	QQJJ7	125
00937	0x006b9ffa	Four of a kind	Three of a kind	Q666J	513
00936	0x006b4bfa	Four of a kind	Three of a kind	QJQQ6	728
00935	0x006b4a20	Four of a kind	Three of a kind	QJTQQ	874
